city,site_code,name
Palwal ,site_5050,"Shyam Nagar, Palwal - HSPCB"
Pithampur,site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB"
Aurangabad,site_198,"More Chowk Waluj, Aurangabad - MPCB"
Aurangabad,site_5788,"MIDC Chilkalthana, Aurangabad - MPCB"
Aurangabad,site_5544,"Gurdeo Nagar, Aurangabad - BSPCB"
Aurangabad,site_5789,"Rachnakar Colony, Aurangabad - MPCB"
Delhi,site_117,"ITO, Delhi - CPCB"
Delhi,site_124,"R K Puram, Delhi - DPCC"
Delhi,site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
Delhi,site_1426,"Narela, Delhi - DPCC"
Delhi,site_1560,"Bawana, Delhi - DPCC"
Delhi,site_5024,"Alipur, Delhi - DPCC"
Delhi,site_105,"North Campus, DU, Delhi - IMD"
Delhi,site_125,"Punjabi Bagh, Delhi - DPCC"
Delhi,site_1427,"Najafgarh, Delhi - DPCC"
Delhi,site_106,"IGI Airport (T3), Delhi - IMD"
Delhi,site_1561,"Mundka, Delhi - DPCC"
Delhi,site_1434,"Wazirpur, Delhi - DPCC"
Delhi,site_1422,"Dwarka-Sector 8, Delhi - DPCC "
Delhi,site_118,"DTU, Delhi - CPCB"
Delhi,site_113,"Shadipur, Delhi - CPCB"
Delhi,site_1562,"Sri Aurobindo Marg, Delhi - DPCC"
Delhi,site_1435,"Vivek Vihar, Delhi - DPCC"
Delhi,site_1430,"Rohini, Delhi - DPCC"
Delhi,site_1423,"Jahangirpuri, Delhi - DPCC"
Delhi,site_119,"Sirifort, Delhi - CPCB"
Delhi,site_1428,"Okhla Phase-2, Delhi - DPCC"
Delhi,site_5393,"Chandni Chowk, Delhi - IITM"
Delhi,site_107,"Pusa, Delhi - IMD"
Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB"
Delhi,site_5395,"Lodhi Road, Delhi - IITM"
Delhi,site_1432,"Sonia Vihar, Delhi - DPCC"
Delhi,site_104,"Burari Crossing, Delhi - IMD"
Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC"
Delhi,site_109,"Lodhi Road, Delhi - IMD"
Delhi,site_301,"Anand Vihar, Delhi - DPCC"
Delhi,site_1420,"Ashok Vihar, Delhi - DPCC"
Delhi,site_5852,"New Moti Bagh, Delhi - MHUA"
Delhi,site_122,"Mandir Marg, Delhi - DPCC"
Delhi,site_103,"CRRI Mathura Road, Delhi - IMD"
Delhi,site_108,"Aya Nagar, Delhi - IMD"
Delhi,site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC"
Delhi,site_1429,"Nehru Nagar, Delhi - DPCC"
Delhi,site_1431,"Patparganj, Delhi - DPCC"
Delhi,site_115,"NSIT Dwarka, Delhi - CPCB"
Delhi,site_1563,"Pusa, Delhi - DPCC"
Hyderabad,site_294,"Sanathnagar, Hyderabad - TSPCB"
Hyderabad,site_5598,"Somajiguda, Hyderabad - TSPCB"
Hyderabad,site_275,"IDA Pashamylaram, Hyderabad - TSPCB"
Hyderabad,site_251,"ICRISAT Patancheru, Hyderabad - TSPCB"
Hyderabad,site_5599,"Kompally Municipal Office, Hyderabad - TSPCB"
Hyderabad,site_5602,"Ramachandrapuram, Hyderabad - TSPCB"
Hyderabad,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB"
Hyderabad,site_5595,"New Malakpet, Hyderabad - TSPCB"
Hyderabad,site_5600,"Nacharam_TSIIC IALA, Hyderabad - TSPCB"
Hyderabad,site_5597,"IITH Kandi, Hyderabad - TSPCB"
Hyderabad,site_262,"Central University, Hyderabad - TSPCB"
Hyderabad,site_298,"Zoo Park, Hyderabad - TSPCB"
Hyderabad,site_5604,"Kokapet, Hyderabad - TSPCB"
Hyderabad,site_5596,"ECIL Kapra, Hyderabad - TSPCB"
Solapur,site_302,"Solapur, Solapur - MPCB"
Solapur,site_5776,"Ratandeep Housing Society, Solapur - MPCB"
Solapur,site_5777,"Dnyaneshwar Nagar, Solapur - MPCB"
Bengaluru,site_1558,"Silk Board, Bengaluru - KSPCB"
Bengaluru,site_1553,"Bapuji Nagar, Bengaluru - KSPCB"
Bengaluru,site_162,"BTM Layout, Bengaluru - CPCB"
Bengaluru,site_1554,"Hebbal, Bengaluru - KSPCB"
Bengaluru,site_163,"Peenya, Bengaluru - CPCB"
Bengaluru,site_1555,"Hombegowda Nagar, Bengaluru - KSPCB"
Bengaluru,site_164,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
Bengaluru,site_166,"Sanegurava Halli, Bengaluru - KSPCB"
Bengaluru,site_5681,"Kasturi Nagar, Bengaluru - KSPCB"
Bengaluru,site_5686,"Shivapura_Peenya, Bengaluru - KSPCB"
Bengaluru,site_1556,"Jayanagar 5th Block, Bengaluru - KSPCB"
Bengaluru,site_165,"City Railway Station, Bengaluru - KSPCB"
Bengaluru,site_5678,"RVCE-Mailasandra, Bengaluru - KSPCB"
Bengaluru,site_5729,"Jigani, Bengaluru - KSPCB"
Mumbai,site_5396,"Deonar, Mumbai - IITM"
Mumbai,site_5113,"Borivali East, Mumbai - MPCB"
Mumbai,site_5810,"Bandra Kurla Complex, Mumbai - MPCB"
Mumbai,site_5961,"Shivaji Nagar, Mumbai - BMC"
Mumbai,site_5120,"Colaba, Mumbai - MPCB"
Mumbai,site_5106,"Vile Parle West, Mumbai - MPCB"
Mumbai,site_5397,"Khindipada-Bhandup West, Mumbai - IITM"
Mumbai,site_5400,"Borivali East, Mumbai - IITM"
Mumbai,site_5412,"Kandivali East, Mumbai - MPCB"
Mumbai,site_168,"Bandra, Mumbai - MPCB"
Mumbai,site_5811,"Chembur, Mumbai - MPCB"
Mumbai,site_5392,"Bandra Kurla Complex, Mumbai - IITM"
Mumbai,site_5962,"Kandivali West, Mumbai - BMC"
Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
Mumbai,site_5119,"Sion, Mumbai - MPCB"
Mumbai,site_5102,"Vasai West, Mumbai - MPCB"
Mumbai,site_5413,"Mulund West, Mumbai - MPCB"
Mumbai,site_5398,"Navy Nagar-Colaba, Mumbai - IITM"
Mumbai,site_5963,"Sewri, Mumbai - BMC"
Mumbai,site_5115,"Worli, Mumbai - MPCB"
Mumbai,site_5403,"Siddharth Nagar-Worli, Mumbai - IITM"
Mumbai,site_5807,"Mindspace-Malad West, Mumbai - MPCB"
Mumbai,site_5960,"Byculla, Mumbai - BMC"
Mumbai,site_5814,"Kherwadi_Bandra East, Mumbai - MPCB"
Mumbai,site_5112,"Powai, Mumbai - MPCB"
Mumbai,site_5399,"Chakala-Andheri East, Mumbai - IITM"
Mumbai,site_5394,"Mazgaon, Mumbai - IITM"
Mumbai,site_5402,"Malad West, Mumbai - IITM"
Mumbai,site_5964,"Ghatkopar, Mumbai - BMC"
Mumbai,site_5104,"Kurla, Mumbai - MPCB"
Sasaram,site_5485,"Dada Peer, Sasaram - BSPCB"
Motihari,site_5478,"Gandak Colony, Motihari - BSPCB"
Gaya,site_5548,"Kareemganj, Gaya - BSPCB"
Gaya,site_159,"Collectorate, Gaya - BSPCB"
Gaya,site_5338,"SFTI Kusdihra, Gaya - BSPCB"
Bhagalpur,site_5543,"DM Office_Kachari Chowk, Bhagalpur - BSPCB"
Bhagalpur,site_5541,"Mayaganj, Bhagalpur - BSPCB"
Baddi,site_5586,"HIMUDA Complex Phase-1, Baddi - HPPCB"
Moradabad,site_5555,"Jigar Colony, Moradabad - UPPCB"
Moradabad,site_5613,"Transport Nagar, Moradabad - UPPCB"
Moradabad,site_5620,"Kashiram Nagar, Moradabad - UPPCB"
Moradabad,site_5537,"Employment Office, Moradabad - UPPCB"
